purpose|цель
quality|качество
realize|осознавать
receive|получать
recommend|рекомендовать
relationship|отношение
research|исследование
responsible|ответственный
result|результат
routine|рутина
safety|безопасность
satisfy|удовлетворять
schedule|расписание
service|услуга
solution|решение
successful|успешный
suggest|предлагать
support|поддерживать
technology|технология
temperature|температура
tradition|традиция
transportation|транспорт
understand|понимать
university|университет
vacation|отпуск
valuable|ценный
variety|разнообразие
visitor|посетитель
weather|погода
website|веб-сайт
welcome|приветствовать
wonderful|замечательный
yesterday|вчера
youth|молодежь
travel|путешествовать
remember|помнить
forget|забывать
explain|объяснять
decide|решать
arrive|прибывать
prepare|готовить
continue|продолжать
describe|описывать
imagine|представлять
accept|принимать
choose|выбирать
expect|ожидать
believe|верить
prefer|предпочитать
share|делиться
important|важный
difficult|трудный
careful|осторожный
famous|известный
together|вместе
enough|достаточно
busy|занятый
early|рано
late|поздно
weekend|выходные
breakfast|завтрак
lunch|обед
dinner|ужин
kitchen|кухня
bathroom|ванная
bedroom|спальня
office|офис
restaurant|ресторан
station|станция
airport|аэропорт
hospital|больница
library|библиотека
museum|музей
cinema|кинотеатр
supermarket|супермаркет
bank|банк
beach|пляж
forest|лес
bridge|мост
village|деревня
neighbour|сосед
customer|клиент
manager|менеджер
job|работа
money|деньги
price|цена
change|сдача
free|бесплатный
cheap|дешёвый
expensive|дорогой
clothes|одежда
shirt|рубашка
shoes|обувь
jacket|куртка
dress|платье
hat|шляпа
weather|погода
cloud|облако
storm|гроза
season|время года
health|здоровье
medicine|лекарство
pain|боль
tired|уставший
sick|больной
strong|сильный
weak|слабый
afraid|испуганный
surprised|удивлённый
proud|гордый
bored|скучающий
excited|взволнованный
lucky|удачливый
funny|смешной
serious|серьёзный
quiet|тихий
loud|громкий
clever|умный
polite|вежливый
lazy|ленивый
comfortable|удобный
dangerous|опасный
possible|возможный
similar|похожий
special|особенный
usual|обычный
modern|современный
foreign|иностранный
public|общественный
private|частный
build|строить
fix|чинить
break|ломать
carry|нести
throw|бросать
catch|ловить
push|толкать
pull|тянуть
climb|взбираться
fall|падать
grow|расти
change|менять
turn|поворачивать
move|двигать
follow|следовать
lose|терять
win|выигрывать
join|присоединяться
invite|приглашать
introduce|представлять
agree|соглашаться
argue|спорить
promise|обещать
worry|беспокоиться
hope|надеяться
enjoy|наслаждаться
practise|практиковать
learn|учить
teach|обучать
study|изучать
answer|отвечать
count|считать
measure|измерять
cost|стоить
save|экономить
spend|тратить
earn|зарабатывать
order|заказывать
pay|платить
book|бронировать
rent|арендовать
repair|ремонтировать
